,#var,#clause,#literal,tw,lp,#mis,#eqv,time_z3,mem_z3
<<<<<<< HEAD
\spur,10.745359394118676,6.42972168098504,5.711196338078342,11.940055748323989,7.630505754052604,12.587385873685713,35.948474714134335,3.3383203309418943,5.6689801656794
\unigen,8.246387104619068,10.7417654111358,14.34847850206731,2.8632084638592423,8.953748798431374,15.74089627174548,35.09915945627163,1.9578864101951743,2.048469581674932
D4,10.629880771342053,7.924960651963913,4.208224671005502,11.76775564371078,11.476738183226958,10.519751213102412,34.70520219403182,4.05688690274038,4.71059976887619
sharpSAT,10.352078347756093,6.582431393093449,5.264364956245894,12.78729092521387,7.341830045308899,13.530015053415811,35.26677006580206,3.2460943787154117,5.629124834448505
\spur fm,11.256298216125451,6.9279993737598,6.506764225942535,15.830029124980783,6.111767220854914,20.086866287758465,19.355940239115927,7.663652923165477,6.260682388296647
\unigen fm,3.751459438057296,9.68616685411835,9.355746223637668,10.31959444233821,9.13729861885151,26.233036487728562,25.87746770752467,1.1385637322191997,4.500666495524541
D4 fm,7.948591605953295,4.955716768865612,1.8745602183328425,12.290801043888544,4.33020484592071,28.339387841151854,23.22819486489187,10.204251542069837,6.828291268925425
sharpSAT fm,11.036759466458122,6.854106181181076,6.498090077601478,14.833810707937156,7.150898044568733,20.308970743513413,20.38373070240576,6.985642512442062,5.947991563892193
=======
\spur,9.811442339075638,6.57218921989758,4.689472560590239,10.94757150559595,7.705704376450916,13.061097845223449,37.869199411681464,3.3678980836611654,5.975424657823581
\unigen,6.8970530614829135,8.255814546663053,11.738903564389352,2.766405892943075,7.993678011804868,27.184868410158735,31.78240883917009,1.4158020452410807,1.9650656281468288
D4,9.311752278838751,8.139771306420043,4.417910543143918,10.313892431507034,10.925931138539038,14.536405859349436,34.45825438606201,3.7533316970333503,4.1427503591064045
sharpSAT,9.68875561055335,6.810191279256118,5.291408346659154,11.77867988785587,7.664571284947589,16.066109361676517,34.356282844626755,3.2197731096243936,5.124228274800234
\spur fm,21.401534815827223,4.232872386758022,1.7364572894782615,21.810671077268605,4.6343124072416675,5.154145831973574,8.74360413034199,15.512425584130371,16.773976476980295
\unigen fm,3.2670854616288714,9.083901161900613,9.726646540846062,10.767406037100582,9.313373303353954,26.187995843655575,27.278839756509587,1.270802300722456,3.1039495942823043
D4 fm,9.135336675810864,3.954477616378564,2.2079983802536147,13.256641113591675,5.941434671326089,24.023328515763513,26.566748855517325,8.584772400504093,6.329261770854257
sharpSAT fm,10.745463820175841,7.024932851430613,7.010094488173345,15.484296725448694,6.338096632239242,20.56100714429535,19.140889902062348,7.356810837686448,6.338407598488127
>>>>>>> f9ccc3c7d394e3f301d13d1b300397bcc9a0ddfb
